caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
2010-001,2010-001-01,2010-001-01-01,2010-001-01-01-01-01,11/8/10,2,,131 S. Ct. 13,178 L. Ed. 2d 276,2010 U.S. LEXIS 8663,2010,1704,Roberts,Oct-91,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",,,28,18,215,,1,,,0,68,,27,,0,12,6,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,NA,,111,1,9,0,111,JGRoberts,1,1,1,2,,
2010-001,2010-001-01,2010-001-01-01,2010-001-01-01-01-02,11/8/10,2,,131 S. Ct. 13,178 L. Ed. 2d 276,2010 U.S. LEXIS 8663,2010,1704,Roberts,Oct-91,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",,,28,18,215,,1,,,0,68,,27,,0,12,6,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,NA,,111,1,9,0,105,AScalia,1,1,1,2,,
2010-001,2010-001-01,2010-001-01-01,2010-001-01-01-01-03,11/8/10,2,,131 S. Ct. 13,178 L. Ed. 2d 276,2010 U.S. LEXIS 8663,2010,1704,Roberts,Oct-91,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",,,28,18,215,,1,,,0,68,,27,,0,12,6,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,NA,,111,1,9,0,106,AMKennedy,1,1,1,2,,
2010-001,2010-001-01,2010-001-01-01,2010-001-01-01-01-04,11/8/10,2,,131 S. Ct. 13,178 L. Ed. 2d 276,2010 U.S. LEXIS 8663,2010,1704,Roberts,Oct-91,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",,,28,18,215,,1,,,0,68,,27,,0,12,6,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,NA,,111,1,9,0,108,CThomas,1,1,1,2,,
2010-001,2010-001-01,2010-001-01-01,2010-001-01-01-01-05,11/8/10,2,,131 S. Ct. 13,178 L. Ed. 2d 276,2010 U.S. LEXIS 8663,2010,1704,Roberts,Oct-91,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",,,28,18,215,,1,,,0,68,,27,,0,12,6,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,NA,,111,1,9,0,109,RBGinsburg,1,1,1,2,,
2010-001,2010-001-01,2010-001-01-01,2010-001-01-01-01-06,11/8/10,2,,131 S. Ct. 13,178 L. Ed. 2d 276,2010 U.S. LEXIS 8663,2010,1704,Roberts,Oct-91,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",,,28,18,215,,1,,,0,68,,27,,0,12,6,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,NA,,111,1,9,0,110,SGBreyer,1,1,1,2,,
2010-001,2010-001-01,2010-001-01-01,2010-001-01-01-01-07,11/8/10,2,,131 S. Ct. 13,178 L. Ed. 2d 276,2010 U.S. LEXIS 8663,2010,1704,Roberts,Oct-91,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",,,28,18,215,,1,,,0,68,,27,,0,12,6,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,NA,,111,1,9,0,112,SAAlito,1,1,1,2,,
2010-001,2010-001-01,2010-001-01-01,2010-001-01-01-01-08,11/8/10,2,,131 S. Ct. 13,178 L. Ed. 2d 276,2010 U.S. LEXIS 8663,2010,1704,Roberts,Oct-91,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",,,28,18,215,,1,,,0,68,,27,,0,12,6,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,NA,,111,1,9,0,113,SSotomayor,1,1,1,2,,
2010-001,2010-001-01,2010-001-01-01,2010-001-01-01-01-09,11/8/10,2,,131 S. Ct. 13,178 L. Ed. 2d 276,2010 U.S. LEXIS 8663,2010,1704,Roberts,Oct-91,"BILL K. WILSON, SUPERINTENDENT, INDIANA STATE PRISON, PETITIONER v. JOSEPH E. CORCORAN",,,28,18,215,,1,,,0,68,,27,,0,12,6,2,1,5,0,1,0,0,10020,1,1,0,4,,3,341,NA,,111,1,9,0,114,EKagan,1,1,1,2,,
2010-002,2010-002-01,2010-002-01-01,2010-002-01-01-01-01,11/15/10,1,,131 S. Ct. 18,178 L. Ed. 2d 348,2010 U.S. LEXIS 9008,2010,1704,Roberts,09-479,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",10/4/10,,137,,27,,1,,,0,109,,23,,0,2,2,1,1,2,0,0,0,0,10510,1,1,0,4,,3,339,NA,109,111,1,8,0,111,JGRoberts,1,1,1,2,,
2010-002,2010-002-01,2010-002-01-01,2010-002-01-01-01-02,11/15/10,1,,131 S. Ct. 18,178 L. Ed. 2d 348,2010 U.S. LEXIS 9008,2010,1704,Roberts,09-479,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",10/4/10,,137,,27,,1,,,0,109,,23,,0,2,2,1,1,2,0,0,0,0,10510,1,1,0,4,,3,339,NA,109,111,1,8,0,114,EKagan,,,,,,
2010-002,2010-002-01,2010-002-01-01,2010-002-01-01-01-03,11/15/10,1,,131 S. Ct. 18,178 L. Ed. 2d 348,2010 U.S. LEXIS 9008,2010,1704,Roberts,09-479,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",10/4/10,,137,,27,,1,,,0,109,,23,,0,2,2,1,1,2,0,0,0,0,10510,1,1,0,4,,3,339,NA,109,111,1,8,0,105,AScalia,1,1,1,2,,
2010-002,2010-002-01,2010-002-01-01,2010-002-01-01-01-04,11/15/10,1,,131 S. Ct. 18,178 L. Ed. 2d 348,2010 U.S. LEXIS 9008,2010,1704,Roberts,09-479,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",10/4/10,,137,,27,,1,,,0,109,,23,,0,2,2,1,1,2,0,0,0,0,10510,1,1,0,4,,3,339,NA,109,111,1,8,0,106,AMKennedy,1,1,1,2,,
2010-002,2010-002-01,2010-002-01-01,2010-002-01-01-01-05,11/15/10,1,,131 S. Ct. 18,178 L. Ed. 2d 348,2010 U.S. LEXIS 9008,2010,1704,Roberts,09-479,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",10/4/10,,137,,27,,1,,,0,109,,23,,0,2,2,1,1,2,0,0,0,0,10510,1,1,0,4,,3,339,NA,109,111,1,8,0,108,CThomas,1,1,1,2,,
2010-002,2010-002-01,2010-002-01-01,2010-002-01-01-01-06,11/15/10,1,,131 S. Ct. 18,178 L. Ed. 2d 348,2010 U.S. LEXIS 9008,2010,1704,Roberts,09-479,"KEVIN ABBOTT, PETITIONER v. UNITED STATES",10/4/10,,137,,27,,1,,,0,109,,23,,0,2,2,1,1,2,0,0,0,0,10510,1,1,0,4,,3,339,NA,109,111,1,8,0,109,RBGinsburg,1,2,1,2,,
